[2018-08-17 00:03:03] [Info] Disconnect v20.vortex-win.data.microsoft.com:443
[2018-08-17 00:03:10] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:10] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:10] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:10] [Info] Disconnect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Disconnect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:11] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Disconnect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect settings-win.data.microsoft.com:443
[2018-08-17 00:03:12] [Info] Disconnect raw.githubusercontent.com:443
[2018-08-17 00:03:12] [Info] Connect settings-win.data.microsoft.com:443
[2018-08-17 00:03:12] [Error] connect to update server error
[2018-08-17 00:03:13] [Info] Connect settings-win.data.microsoft.com:443
[2018-08-17 00:03:13] [Info] Disconnect settings-win.data.microsoft.com:443
[2018-08-17 00:03:19] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:19] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:19] [Info] Connect config.pinyin.sogou.com:80
[2018-08-17 00:03:19] [Info] Disconnect config.pinyin.sogou.com:80
[2018-08-17 00:03:21] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:21] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:21] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:21] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:22] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:22] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:22] [Info] Disconnect stdl.qq.com:80
[2018-08-17 00:03:22] [Info] Disconnect appstore.browser.qq.com:80
[2018-08-17 00:03:22] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:22] [Info] Connect appstore.browser.qq.com:80
[2018-08-17 00:03:22] [Info] Connect stdl.qq.com:80
[2018-08-17 00:03:22] [Info] Connect appstore.browser.qq.com:80
